waveobs,flux,err
4720.161551722925,1.0057551860809326,0.0012762518599629402
4720.20756793231,1.0099735260009766,0.0012790983309969306
4720.253584141702,1.0123642683029175,0.0012812558561563492
4720.299600351102,1.018710970878601,0.0012847044272348285
4720.345616560511,1.0140273571014404,0.0012817374663427472
4720.391632769925,1.007591962814331,0.0012775273062288761
4720.437648979351,1.006171703338623,0.0012755057541653514
4720.483665188782,0.9946672916412354,0.001267855754122138
4720.529681398222,0.9904466867446899,0.0012651241850107908
4720.57569760767,0.993126392364502,0.0012676262995228171
4720.621713817126,0.9924975037574768,0.0012669002171605825
4720.667730026588,0.9875659942626953,0.001262687030248344
4720.71374623606,0.9812372326850891,0.0012591839767992496
4720.759762445538,0.9662742614746094,0.0012498553842306137
4720.805778655025,0.9539133310317993,0.0012415151577442884
